Dis No,Year,Disaster Type,Disaster Subtype,Country,Region,Continent,Associated Dis,Associated Dis2,Dis Mag Value,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,"Total Damages, Adjusted ('000 US$)",CPI
2010-0645-IRN,2010,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,7,7,25,,,25,,80.47228515
2010-0672-IRN,2010,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,3,100,,3500,3600,,80.47228515
2011-0082-IDN,2011,Earthquake,Tsunami,Indonesia,South-Eastern Asia,Asia,Tsunami/Tidal wave,,9,1,,,95,95,,83.01267439
2009-0404-PHL,2009,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,,,6,,2,380,10,392,114,79.17380276
2011-0090-MMR,2011,Earthquake,Ground movement,Myanmar,South-Eastern Asia,Asia,,,7,74,125,18000,3152,21277,4337,83.01267439
2011-0104-PAK,2011,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,,,7,2,,1000,,1000,,83.01267439
2011-0090-THA,2011,Earthquake,Ground movement,Thailand,South-Eastern Asia,Asia,,,7,1,16,,,16,,83.01267439
2011-0351-IND,2011,Earthquake,Ground movement,India,Southern Asia,Asia,"Slide (land, mud, snow, rock)",,7,112,200,500000,75000,575200,,83.01267439
2011-0351-BTN,2011,Earthquake,Ground movement,Bhutan,Southern Asia,Asia,,,7,1,16,20000,,20016,,83.01267439
2011-0389-IDN,2011,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,7,10,,,,,7047,83.01267439
2012-0164-AFG,2012,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,"Slide (land, mud, snow, rock)",,6,73,2,,235,237,,84.7304789
2012-0097-IDN,2012,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,9,7,107,,,107,,84.7304789
2012-0398-IDN,2012,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,6,43,5485,2355,7883,,84.7304789
2012-0049-IND,2012,Mass movement (dry),Avalanche,India,Southern Asia,Asia,,,,16,,,,,,84.7304789
2013-0235-IDN,2013,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,"Slide (land, mud, snow, rock)",,6,48,2532,53403,,55935,151213,85.97164225
2013-0151-AFG,2013,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,,,6,18,141,3390,,3531,,85.97164225
2013-0020-IDN,2013,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,1,15,500,,515,,85.97164225
2013-0436-IDN,2013,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,5,1,3,2735,,2738,,85.97164225
2013-0140-IND,2013,Earthquake,Ground movement,India,Southern Asia,Asia,,,6,3,70,59280,,59350,139581,85.97164225
2011-0351-NPL,2011,Earthquake,Ground movement,Nepal,Southern Asia,Asia,,,7,7,89,167860,,167949,,83.01267439
2011-0445-PHL,2011,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,,,5,,3,25,,28,,83.01267439
2012-0417-MMR,2012,Earthquake,Ground movement,Myanmar,South-Eastern Asia,Asia,"Slide (land, mud, snow, rock)",,7,38,231,1255,,1486,1381,84.7304789
2012-0031-PHL,2012,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,"Slide (land, mud, snow, rock)",,7,113,112,320165,,320277,10504,84.7304789
2012-0275-IRN,2012,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,306,2006,59540,,61546,590106,84.7304789
2012-0502-IRN,2012,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,6,23,5500,,5523,,84.7304789
2012-0597-IRN,2012,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,5,,238,,,238,,84.7304789
2012-0321-PHL,2012,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,,,6,,1,4000,,4001,,84.7304789
2012-0431-PHL,2012,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,,,8,1,10,28869,,28879,3829,84.7304789
2013-0098-IRN,2013,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,37,850,3500,,4350,697905,85.97164225
2013-0099-IRN,2013,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,8,,27,,,27,,85.97164225
2013-0516-IRN,2013,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,8,120,,1500,1620,,85.97164225
2013-0099-PAK,2013,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,,,8,41,175,15000,,15175,,85.97164225
