Country,Total of Deaths
Iran (Islamic Republic of),195578
Afghanistan,87682
Indonesia,68679
Thailand,1445
Philippines,985
Bhutan,925
India,417
Bangladesh,331
Pakistan,311
Nepal,22
Myanmar,17
Malaysia,8
Sri Lanka,1
Timor Leste,0
