Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Country,Associated Dis,Associated Dis2,Dis Mag Value,Dis Mag Scale,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI
2011,Natural,Geophysical,Earthquake,Ground movement,,Japan,,,7,Richter,2,132,,,132,,,83.01267439
2011,Natural,Geophysical,Earthquake,Ground movement,,China,"Slide (land, mud, snow, rock)",,5,Richter,,8,250,,258,,,83.01267439
2011,Natural,Geophysical,Earthquake,Ground movement,,China,,,7,Richter,7,136,,5000,5136,,,83.01267439
2011,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,,,143000,,143000,56400,67941,83.01267439
2011,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,,26,855,735,1616,,,83.01267439
2012,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,4,394,33840,,34234,300000,354064,84.7304789
2012,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,,52,155000,,155052,68000,80254,84.7304789
2012,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,81,821,744000,,744821,1000000,1180213,84.7304789
2012,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,1,2,2530,78,2610,,,84.7304789
2012,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,,,5500,,5500,96000,113300,84.7304789
2012,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,,36641,,,36641,84000,99138,84.7304789
2013,Natural,Geophysical,Earthquake,Ground movement,,China,"Slide (land, mud, snow, rock)",,6,Richter,95,887,123000,,123887,1000000,1163174,85.97164225
2013,Natural,Geophysical,Earthquake,Ground movement,,China,"Slide (land, mud, snow, rock)",,6,Richter,3,50,538000,,538050,155000,180292,85.97164225
2013,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,,30,417170,10540,427740,56000,65138,85.97164225
2013,Natural,Geophysical,Earthquake,Ground movement,,China,,,7,Richter,198,14785,2184000,,2198785,6800000,7909585,85.97164225
2013,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,,,58300,,58300,,,85.97164225
2013,Natural,Geophysical,Earthquake,Ground movement,,Japan,,,6,Richter,,32,8406,,8438,,,85.97164225
2013,Natural,Geophysical,Earthquake,Ground movement,,Taiwan (Province of China),,,6,Richter,4,19,1500,,1519,1100,1279,85.97164225
2013,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,,,90500,,90500,6300,7328,85.97164225
2013,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,,10,80545,,80555,38000,44201,85.97164225
2013,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,,,,2000,2000,,,85.97164225
2014,Natural,Geophysical,Earthquake,Ground movement,,China,"Slide (land, mud, snow, rock)",,6,Richter,731,3413,1117100,,1120513,5000000,5723031,87.36629784
2014,Natural,Geophysical,Earthquake,Ground movement,,China,,,7,Richter,,,450000,,450000,174000,199161,87.36629784
2014,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,,21,75000,,75021,80000,91568,87.36629784
2014,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,,15,225000,,225015,60000,68676,87.36629784
2014,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,,45,184678,,184723,2000,2289,87.36629784
2014,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,1,324,255000,,255324,274000,313622,87.36629784
2014,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,5,65,82200,90,82355,50000,57230,87.36629784
2014,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,1,22,,2000,2022,,,87.36629784
2015,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,,,8640,,8640,14650,16749,87.46993221
2015,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,,32,,2000,2032,15000,17149,87.46993221
2015,Natural,Geophysical,Earthquake,Ground movement,,China,,,8,Richter,29,383,200000,7500,207883,,,87.46993221
2015,Natural,Geophysical,Earthquake,Ground movement,,China,,,7,Richter,1,,,,,,,87.46993221
2015,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,3,263,,9000,9263,3200,3658,87.46993221
2014,Natural,Geophysical,Earthquake,Ground movement,,Japan,,,6,Richter,,41,2466,150,2657,2000,2289,87.36629784
2016,Natural,Geophysical,Earthquake,Ground movement,,Japan,,,7,Richter,9,800,120000,,120800,,,88.57345288
2016,Natural,Geophysical,Earthquake,Ground movement,,Japan,,,7,Richter,49,1684,272763,23985,298432,20000000,22580129,88.57345288
2013,Natural,Geophysical,Earthquake,Ground movement,,Taiwan (Province of China),,,6,Richter,1,97,,,97,1000,1163,85.97164225
2016,Natural,Geophysical,Earthquake,Ground movement,,Taiwan (Province of China),Collapse,,6,Richter,117,525,,,525,700000,790305,88.57345288
2016,Natural,Geophysical,Earthquake,Ground movement,,China,,,7,Richter,1,,37200,,37200,5500,6210,88.57345288
2016,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,,,9000,120,9120,135000,152416,88.57345288
2016,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,2,,,5000,5000,60000,67740,88.57345288
